,DIP-gamma,DIP-beta,DIP-delta,DIP-theta,Idents,date,experiment,exp_time
20190528_CLK856_DD_CT02_AR05_ACAGAC,0,1,2,0,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACTCGA,0,0,1,0,19:DN2,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGACCA,0,0,1,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGGAAG,0,3,1,0,19:DN2,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CATGCA,1,13,0,1,3:DN1a,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CTAGTG,0,0,3,1,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GAAGTG,1,0,2,3,7:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GACAAC,0,0,3,0,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GACAGA,0,1,2,2,18:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GAGTAC,0,0,0,0,9:LNd_NPF,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GAGTTG,0,1,0,7,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GTACTC,0,5,1,0,20:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_GTCTTC,2,0,15,1,9:LNd_NPF,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_TCACTC,0,0,0,0,29:LPN,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_TCCTAG,0,1,50,1,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_TGAGTG,0,2,3,0,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_TGTCTG,0,1,1,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_ACCAGA,0,0,9,0,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_ACTCAC,0,0,7,0,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_ACTCTG,0,0,7,0,8:LN_ITP,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_CAGACA,0,0,2,1,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_CATGTC,0,3,21,1,12:LNd,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_GAAGGA,0,1,1,0,20:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_GAGTGA,0,0,3,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_GAGTTG,0,0,0,0,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_GTCTTC,0,0,3,0,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_TCACTC,0,2,47,2,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_TCCTTC,1,0,1,0,20:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_TCGAAG,0,1,1,0,18:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_TCTGTC,0,0,6,1,9:LNd_NPF,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_TGAGGA,1,1,13,0,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR06_TGTCTG,0,0,8,0,8:LN_ITP,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_ACCAAC,3,2,8,9,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_ACGTGA,0,0,0,0,7:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_ACTCGA,0,0,1,0,14:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_AGACCA,1,1,8,1,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_AGGAAG,0,2,6,10,7:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_AGTGTC,0,0,6,0,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CAACCA,0,1,2,4,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CAGAAG,0,0,3,1,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CAGACA,0,0,4,14,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CATGAG,0,0,0,0,14:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CATGTC,1,0,4,1,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CTAGAC,0,0,1,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CTCAGA,0,0,2,0,8:LN_ITP,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_CTTCGA,0,2,10,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GAAGAC,0,2,3,1,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GAAGTG,0,2,3,0,3:DN1a,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GACAAC,1,0,9,0,9:LNd_NPF,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GAGTAC,7,3,4,1,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GAGTTG,1,0,2,0,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GATCGA,2,0,1,7,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GTACTC,0,1,30,0,9:LNd_NPF,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GTCTTC,0,2,1,0,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GTGATC,0,0,1,1,25:l_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GTTGCA,6,1,0,0,3:DN1a,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_GTTGTC,2,1,23,1,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TCACTC,0,1,14,0,12:LNd,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TCCTCA,11,5,7,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TGCAGA,2,0,0,0,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TGCATG,3,5,22,2,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TGGTAC,0,0,3,1,12:LNd,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TGTCAC,0,0,4,0,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TGTCGA,2,1,2,1,25:l_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR07_TGTCTG,0,0,1,1,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_ACAGAC,0,0,2,0,29:LPN,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_ACAGTG,0,0,1,1,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_ACCATG,0,1,38,2,8:LN_ITP,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_ACTCGA,0,2,0,0,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_ACTCTG,1,0,0,0,20:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGACAG,0,2,2,0,29:LPN,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGCTAG,0,1,2,0,29:LPN,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGCTCA,0,0,0,0,18:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGGAAG,0,1,14,2,4:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGGACA,0,1,8,0,9:LNd_NPF,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGTGAG,0,0,1,0,1:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_AGTGCA,0,7,0,8,7:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CAACTC,0,0,4,1,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CACTAG,0,0,6,0,5:LNd_Trissin,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CACTCA,0,2,3,1,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CAGACA,0,6,1,0,3:DN1a,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CATGAG,0,0,1,0,20:DN3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CATGCA,0,3,0,3,6:DN1p,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CTCAGA,1,0,0,0,2:s_LNv,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CTGTAC,0,0,0,0,15:DN1p_CNMa,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CTGTTG,0,0,2,0,12:LNd,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR08_CTTCGA,0,0,0,0,4:DN1p,2019-05-28,DD,CT02
