gene,20190528_CLK856_DD_CT02_AR05_ACAGAC,20190528_CLK856_DD_CT02_AR05_ACAGGA,20190528_CLK856_DD_CT02_AR05_ACAGTG,20190528_CLK856_DD_CT02_AR05_ACCAAC,20190528_CLK856_DD_CT02_AR05_ACCAGA,20190528_CLK856_DD_CT02_AR05_ACCATG,20190528_CLK856_DD_CT02_AR05_ACGTAC,20190528_CLK856_DD_CT02_AR05_ACGTGA,20190528_CLK856_DD_CT02_AR05_ACGTTG,20190528_CLK856_DD_CT02_AR05_ACTCAC,20190528_CLK856_DD_CT02_AR05_ACTCGA,20190528_CLK856_DD_CT02_AR05_ACTCTG,20190528_CLK856_DD_CT02_AR05_AGACAG,20190528_CLK856_DD_CT02_AR05_AGACCA,20190528_CLK856_DD_CT02_AR05_AGACTC,20190528_CLK856_DD_CT02_AR05_AGCTAG,20190528_CLK856_DD_CT02_AR05_AGCTCA,20190528_CLK856_DD_CT02_AR05_AGCTTC,20190528_CLK856_DD_CT02_AR05_AGGAAG,20190528_CLK856_DD_CT02_AR05_AGGACA,20190528_CLK856_DD_CT02_AR05_AGGATC,20190528_CLK856_DD_CT02_AR05_AGTGAG,20190528_CLK856_DD_CT02_AR05_AGTGCA,20190528_CLK856_DD_CT02_AR05_AGTGTC,20190528_CLK856_DD_CT02_AR05_CAACAG,20190528_CLK856_DD_CT02_AR05_CAACCA,20190528_CLK856_DD_CT02_AR05_CAACTC,20190528_CLK856_DD_CT02_AR05_CACTAG,20190528_CLK856_DD_CT02_AR05_CACTCA,20190528_CLK856_DD_CT02_AR05_CACTTC,20190528_CLK856_DD_CT02_AR05_CAGAAG,20190528_CLK856_DD_CT02_AR05_CAGACA,20190528_CLK856_DD_CT02_AR05_CAGATC,20190528_CLK856_DD_CT02_AR05_CATGAG,20190528_CLK856_DD_CT02_AR05_CATGCA,20190528_CLK856_DD_CT02_AR05_CATGTC,20190528_CLK856_DD_CT02_AR05_CTAGAC,20190528_CLK856_DD_CT02_AR05_CTAGGA,20190528_CLK856_DD_CT02_AR05_CTAGTG,20190528_CLK856_DD_CT02_AR05_CTCAAC,20190528_CLK856_DD_CT02_AR05_CTCAGA,20190528_CLK856_DD_CT02_AR05_CTCATG,20190528_CLK856_DD_CT02_AR05_CTGTAC,20190528_CLK856_DD_CT02_AR05_CTGTGA,20190528_CLK856_DD_CT02_AR05_CTGTTG,20190528_CLK856_DD_CT02_AR05_CTTCAC,20190528_CLK856_DD_CT02_AR05_CTTCGA,20190528_CLK856_DD_CT02_AR05_CTTCTG,20190528_CLK856_DD_CT02_AR05_GAAGAC,20190528_CLK856_DD_CT02_AR05_GAAGGA,20190528_CLK856_DD_CT02_AR05_GAAGTG,20190528_CLK856_DD_CT02_AR05_GACAAC,20190528_CLK856_DD_CT02_AR05_GACAGA,20190528_CLK856_DD_CT02_AR05_GACATG,20190528_CLK856_DD_CT02_AR05_GAGTAC,20190528_CLK856_DD_CT02_AR05_GAGTGA,20190528_CLK856_DD_CT02_AR05_GAGTTG,20190528_CLK856_DD_CT02_AR05_GATCAC,20190528_CLK856_DD_CT02_AR05_GATCGA,20190528_CLK856_DD_CT02_AR05_GATCTG,20190528_CLK856_DD_CT02_AR05_GTACAG,20190528_CLK856_DD_CT02_AR05_GTACCA,20190528_CLK856_DD_CT02_AR05_GTACTC,20190528_CLK856_DD_CT02_AR05_GTCTAG,20190528_CLK856_DD_CT02_AR05_GTCTCA,20190528_CLK856_DD_CT02_AR05_GTCTTC,20190528_CLK856_DD_CT02_AR05_GTGAAG,20190528_CLK856_DD_CT02_AR05_GTGACA,20190528_CLK856_DD_CT02_AR05_GTGATC,20190528_CLK856_DD_CT02_AR05_GTTGAG,20190528_CLK856_DD_CT02_AR05_GTTGCA,20190528_CLK856_DD_CT02_AR05_GTTGTC,20190528_CLK856_DD_CT02_AR05_TCACAG,20190528_CLK856_DD_CT02_AR05_TCACCA,20190528_CLK856_DD_CT02_AR05_TCACTC,20190528_CLK856_DD_CT02_AR05_TCCTAG,20190528_CLK856_DD_CT02_AR05_TCCTCA,20190528_CLK856_DD_CT02_AR05_TCCTTC,20190528_CLK856_DD_CT02_AR05_TCGAAG,20190528_CLK856_DD_CT02_AR05_TCGACA,20190528_CLK856_DD_CT02_AR05_TCGATC,20190528_CLK856_DD_CT02_AR05_TCTGAG,20190528_CLK856_DD_CT02_AR05_TCTGCA,20190528_CLK856_DD_CT02_AR05_TCTGTC,20190528_CLK856_DD_CT02_AR05_TGAGAC,20190528_CLK856_DD_CT02_AR05_TGAGGA,20190528_CLK856_DD_CT02_AR05_TGAGTG,20190528_CLK856_DD_CT02_AR05_TGCAAC,20190528_CLK856_DD_CT02_AR05_TGCAGA,20190528_CLK856_DD_CT02_AR05_TGCATG,20190528_CLK856_DD_CT02_AR05_TGGTAC,20190528_CLK856_DD_CT02_AR05_TGGTGA,20190528_CLK856_DD_CT02_AR05_TGGTTG,20190528_CLK856_DD_CT02_AR05_TGTCAC,20190528_CLK856_DD_CT02_AR05_TGTCGA,20190528_CLK856_DD_CT02_AR05_TGTCTG,gene_low
EGFP,17,0,1,0,0,2,0,0,0,5,10,0,2,36,0,3,0,0,20,0,0,0,0,35,0,0,10,0,178,0,0,0,0,1,30,0,1,0,2,2,1,0,0,0,0,0,1,1,4,0,13,33,9,0,7,1,14,0,0,0,0,0,14,2,0,144,2,1,0,0,2,0,1,0,3,151,0,1,0,0,0,0,0,6,1,3,16,0,1,0,0,0,3,21,1,32,egfp
ERCC-00002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ercc-00002
ERCC-00004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,2,0,0,1,ercc-00004
ERCC-00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ercc-00022
ERCC-00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ercc-00044
ERCC-00046,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ercc-00046
ERCC-00060,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ercc-00060
ERCC-00074,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,ercc-00074
ERCC-00096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,ercc-00096
ERCC-00130,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,ercc-00130
ERCC-00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ercc-00136
ERCC-00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ercc-00163
