,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190528_CLK856_DD_CT02_AR05_ACAGAC,35,8,20,6,6,4,59,1,7,4,0,26,5,0,78,0,0,18,25,11,3,1,0,0,0,0,2,7,1,0,16,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACAGGA,6,8,7,6,14,3,50,0,4,14,2,20,10,0,38,0,0,27,19,10,2,0,0,0,0,0,0,1,2,0,25,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACAGTG,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACCAAC,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACCAGA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACCATG,1,3,1,1,1,17,18,0,1,3,2,1,9,0,7,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACGTAC,3,0,0,0,0,0,8,0,2,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACGTGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACGTTG,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACTCAC,1,2,0,2,0,0,10,0,1,0,0,8,5,0,4,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,3,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACTCGA,124,7,16,25,18,5,92,0,22,6,4,20,9,0,62,2,0,40,13,10,8,0,0,0,0,1,2,3,5,0,48,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_ACTCTG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGACAG,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGACCA,28,2,3,3,5,5,60,0,5,12,5,10,18,0,26,0,0,10,6,4,15,0,0,0,0,0,1,0,2,0,7,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGACTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGCTAG,28,64,31,27,10,10,133,1,40,24,22,63,26,1,95,1,1,43,41,5,11,5,1,0,0,2,2,3,7,0,42,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGCTCA,0,0,14,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGCTTC,0,1,0,0,0,0,17,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGGAAG,82,8,13,8,17,3,40,2,3,3,4,25,1,0,52,1,0,12,7,2,1,0,0,0,0,0,0,2,1,0,23,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGGACA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGGATC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGTGAG,0,1,6,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGTGCA,2,2,2,1,0,0,10,0,1,0,1,5,1,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_AGTGTC,27,22,11,36,4,13,84,1,18,5,3,63,14,0,97,0,0,40,36,3,3,0,0,0,0,0,1,4,3,0,46,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CAACAG,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CAACCA,0,0,0,0,0,1,4,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CAACTC,3,0,1,1,1,0,6,0,16,0,1,0,0,0,19,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CACTAG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CACTCA,109,19,54,19,11,27,164,0,25,39,38,86,21,0,219,6,0,81,32,35,21,0,2,0,2,5,1,12,8,6,85,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CACTTC,35,11,18,16,6,4,100,0,13,9,3,34,14,0,130,1,0,18,22,3,1,0,0,1,1,3,0,12,1,0,17,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CAGAAG,4,0,0,0,0,0,5,0,3,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CAGACA,6,10,4,0,1,0,7,0,1,0,0,2,10,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CAGATC,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CATGAG,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CATGCA,8,2,6,4,6,3,44,0,7,3,2,6,4,0,25,2,0,11,9,19,1,0,0,0,0,1,0,1,1,0,52,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CATGTC,1,0,1,0,1,0,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CTAGAC,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CTAGGA,1,2,0,0,1,0,9,0,1,1,0,0,1,0,1,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,2019-05-28,DD,CT02
20190528_CLK856_DD_CT02_AR05_CTAGTG,4,0,3,1,0,0,610,1,1,3,4,4,0,0,6,0,0,2,1,0,1,2,1,0,0,1,0,0,10,0,5,2019-05-28,DD,CT02
