,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190309_CLK856_LD_ZT02_AR08_ACAGAC,12,17,23,6,10,3,132,0,16,19,15,35,11,0,83,0,0,17,33,0,15,1,0,0,1,1,0,1,1,0,91,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACAGGA,41,64,55,34,26,9,160,1,54,81,27,45,41,0,171,2,1,34,43,4,10,5,0,1,0,1,1,2,10,2,92,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACAGTG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACCAAC,94,24,20,40,36,6,2262,0,38,17,39,47,8,0,93,0,0,15,9,3,30,0,4,1,0,0,0,8,12,0,76,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACCAGA,58,7,33,19,29,21,122,0,15,29,29,24,20,0,114,0,0,20,11,4,7,1,0,1,0,1,1,1,3,0,94,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACCATG,27,16,18,11,7,6,87,0,6,13,8,15,3,0,55,0,0,21,11,6,7,0,1,1,0,1,1,4,0,2,71,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACGTAC,0,0,0,1,0,0,12,0,2,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACGTGA,64,19,32,17,82,18,1524,0,77,31,81,57,6,0,105,0,1,34,19,7,105,0,5,0,0,1,2,2,4,0,84,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACGTTG,5,7,21,24,41,6,89,0,17,15,6,28,10,0,66,0,0,25,19,1,10,0,0,2,0,0,0,1,0,0,73,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACTCAC,10,7,29,20,48,11,69,1,5,8,5,8,10,0,65,0,6,15,17,0,6,0,0,2,0,0,0,3,1,0,46,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACTCGA,3,2,1,2,2,0,18,0,2,7,0,9,3,1,8,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,10,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACTCTG,0,0,1,0,0,0,8,0,0,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGACAG,19,11,15,17,23,2,1255,0,23,13,3,43,8,0,36,0,1,17,4,5,30,0,0,1,0,0,1,1,0,0,50,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGACCA,1,4,4,7,6,0,31,0,6,1,1,9,13,0,31,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,10,2019-03-09,LD,ZT02
